"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"EFEMP1",0,0.763577295313917,0.59,0.108,0,"0","EFEMP1",0.482
"IL1R1",0,0.76350714301204,0.574,0.115,0,"0","IL1R1",0.459
"TMEM98",0,0.761400341511285,0.85,0.155,0,"0","TMEM98",0.695
"PDGFRL",0,0.75328078223994,0.598,0.067,0,"0","PDGFRL",0.531
"MRC2",0,0.752842458163913,0.813,0.147,0,"0","MRC2",0.666
"RCN3",0,0.749716943038077,0.672,0.104,0,"0","RCN3",0.568
"CALU",0,0.740141887979341,0.842,0.323,0,"0","CALU",0.519
"CTGF",0,0.738555911612246,0.597,0.155,0,"0","CTGF",0.442
"COL18A1",0,0.73644707240967,0.852,0.24,0,"0","COL18A1",0.612
"TMEM176B",0,0.736285674640612,0.645,0.166,0,"0","TMEM176B",0.479
"PRDX4",0,0.734052783336198,0.875,0.381,0,"0","PRDX4",0.494
"SDC2",0,0.728182202497505,0.814,0.159,0,"0","SDC2",0.655
"ANTXR1",0,0.728030323239856,0.738,0.123,0,"0","ANTXR1",0.615
"CLDN11",0,0.723272390899957,0.58,0.079,0,"0","CLDN11",0.501
"AKAP12",0,0.719677713094833,0.721,0.171,0,"0","AKAP12",0.55
"SELENOM",0,0.715869312700132,0.887,0.34,0,"0","SELENOM",0.547
"SPARCL1",0,0.715542237897354,0.791,0.181,0,"0","SPARCL1",0.61
"TCEAL9",0,0.714596604995001,0.918,0.312,0,"0","TCEAL9",0.606
"LAMC1",0,0.712763645021787,0.804,0.199,0,"0","LAMC1",0.605
"DSTN",0,0.703968069012667,0.957,0.539,0,"0","DSTN",0.418
"PPIB",0,0.699042148160654,0.974,0.729,0,"0","PPIB",0.245
"FGF7",0,0.698933714033836,0.515,0.056,0,"0","FGF7",0.459
"PXDN",0,0.693774280614043,0.749,0.147,0,"0","PXDN",0.602
"CEBPD",0,0.693561673370588,0.89,0.433,0,"0","CEBPD",0.457
"ASPN",0,0.691492553902846,0.302,0.018,0,"0","ASPN",0.284
"PPP1R14A",0,0.690114623304879,0.751,0.209,0,"0","PPP1R14A",0.542
"PTGIS",0,0.682528008793807,0.607,0.068,0,"0","PTGIS",0.539
"COL16A1",0,0.677914344060921,0.62,0.059,0,"0","COL16A1",0.561
"RPS7",0,0.674657340612216,0.996,0.942,0,"0","RPS7",0.054
"LTBP4",0,0.67274552498277,0.773,0.212,0,"0","LTBP4",0.561
"GPX3",0,0.66890999712798,0.38,0.114,0,"0","GPX3",0.266
"NID1",0,0.66511695173572,0.736,0.114,0,"0","NID1",0.622
"EMP1",0,0.665063854307372,0.53,0.159,0,"0","EMP1",0.371
"GJA1",0,0.664709266847939,0.707,0.14,0,"0","GJA1",0.567
"SYNPO2",0,0.661623656014411,0.653,0.1,0,"0","SYNPO2",0.553
"APP",0,0.660039605573047,0.943,0.346,0,"0","APP",0.597
"EPS8",0,0.651005209312186,0.75,0.184,0,"0","EPS8",0.566
"ABLIM1",0,0.645568566623823,0.762,0.244,0,"0","ABLIM1",0.518
"CNN3",0,0.64172575453359,0.869,0.265,0,"0","CNN3",0.604
"PPP2CB",0,0.638504502867747,0.824,0.291,0,"0","PPP2CB",0.533
"PKDCC",0,0.634533328238465,0.611,0.088,0,"0","PKDCC",0.523
"OLFML3",0,0.631335721275182,0.712,0.127,0,"0","OLFML3",0.585
"EEF2",0,0.629202070831885,0.991,0.767,0,"0","EEF2",0.224
"PARVA",0,0.627630091135331,0.754,0.152,0,"0","PARVA",0.602
"CPXM1",0,0.626691643844576,0.629,0.077,0,"0","CPXM1",0.552
"CLEC11A",0,0.625681548647539,0.712,0.183,0,"0","CLEC11A",0.529
"TNFRSF12A",0,0.61843932533402,0.504,0.15,0,"0","TNFRSF12A",0.354
"CAVIN1",0,0.612245103236913,0.811,0.223,0,"0","CAVIN1",0.588
"DDR2",0,0.611507533384423,0.752,0.135,0,"0","DDR2",0.617
"OSTC",0,0.608897647219479,0.896,0.498,0,"0","OSTC",0.398
"GPRC5A",0,0.603228197991108,0.388,0.08,0,"0","GPRC5A",0.308
"FKBP10",0,0.602795639196962,0.71,0.149,0,"0","FKBP10",0.561
"FAM114A1",0,0.601625254572584,0.772,0.202,0,"0","FAM114A1",0.57
"MYADM",0,0.600675673116295,0.825,0.402,0,"0","MYADM",0.423
"RPLP0",0,0.600612959082388,0.994,0.889,0,"0","RPLP0",0.105
"PAWR",0,0.599523225390431,0.78,0.222,0,"0","PAWR",0.558
"NR4A1",0,0.599465304848452,0.808,0.4,0,"0","NR4A1",0.408
"PRELP",0,0.598690368321601,0.545,0.076,0,"0","PRELP",0.469
"RPL7A",0,0.597976040896973,0.997,0.944,0,"0","RPL7A",0.053
"CKAP4",0,0.595265863971284,0.703,0.188,0,"0","CKAP4",0.515
"SPART",0,0.595141138996983,0.773,0.239,0,"0","SPART",0.534
"SCN7A",0,0.592452426434492,0.545,0.063,0,"0","SCN7A",0.482
"APOD",0,0.589860125673886,0.542,0.065,0,"0","APOD",0.477
"ENC1",0,0.588984118467655,0.455,0.108,0,"0","ENC1",0.347
"LTBP2",0,0.58689511153747,0.543,0.079,0,"0","LTBP2",0.464
"PLPP3",0,0.586013900335644,0.721,0.182,0,"0","PLPP3",0.539
"LHFPL6",0,0.585367518219788,0.698,0.14,0,"0","LHFPL6",0.558
"DHRS2",0,0.584206527073163,0.422,0.032,0,"0","DHRS2",0.39
"RPL3",0,0.584049025346751,0.997,0.949,0,"0","RPL3",0.048
"COL4A2",0,0.581939390006978,0.812,0.201,0,"0","COL4A2",0.611
"FMOD",0,0.578411256708278,0.591,0.057,0,"0","FMOD",0.534
"COL15A1",0,0.576766421230514,0.448,0.095,0,"0","COL15A1",0.353
"PDGFRB",0,0.575741661872574,0.637,0.104,0,"0","PDGFRB",0.533
"GAS6",0,0.575291151173291,0.731,0.261,0,"0","GAS6",0.47
"NSG1",0,0.575082715498876,0.606,0.09,0,"0","NSG1",0.516
"TGFB1I1",0,0.574628661197403,0.723,0.149,0,"0","TGFB1I1",0.574
"F3",0,0.57450964377669,0.405,0.06,0,"0","F3",0.345
"GAS1",0,0.573375602573662,0.506,0.077,0,"0","GAS1",0.429
"CTSF",0,0.569316830622873,0.75,0.188,0,"0","CTSF",0.562
"SSPN",0,0.568717082285311,0.725,0.158,0,"0","SSPN",0.567
"MIR503HG",0,0.564249142201729,0.469,0.085,0,"0","MIR503HG",0.384
"BNC2",0,0.561843451259927,0.69,0.123,0,"0","BNC2",0.567
"SULF1",0,0.560278805609822,0.253,0.043,0,"0","SULF1",0.21
"PODN",0,0.559928931851649,0.506,0.062,0,"0","PODN",0.444
"RPL10A",0,0.559470139279996,0.994,0.914,0,"0","RPL10A",0.08
